📺央视频道,#genre#
重庆卫视,http://39.135.126.66:6610/PLTV/11/224/3221226868/index.m3u8?servicetype=1
厦门卫视,http://39.135.126.66:6610/PLTV/11/224/3221226803/index.m3u8?servicetype=1
陕西卫视,http://39.135.126.66:6610/PLTV/11/224/3221226892/index.m3u8?servicetype=1
内蒙古卫视,http://39.135.126.66:6610/PLTV/11/224/3221226886/index.m3u8?servicetype=1
青海卫视,http://39.135.126.66:6610/PLTV/11/224/3221226889/index.m3u8?servicetype=1
甘肃卫视,http://39.135.126.66:6610/PLTV/11/224/3221226875/index.m3u8?servicetype=1
山东教育,http://39.135.126.66:6610/PLTV/11/224/3221227166/index.m3u8?servicetype=1
📡香港频道,#genre#

凤凰中文,https://cdn6.163189.xyz/163189/fhzw
凤凰资讯,https://cdn6.163189.xyz/163189/fhzx
凤凰香港,https://cdn6.163189.xyz/163189/fhhk
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8

📡湾湾#genre#
中天新聞台,http://nmk.ioapk.com:5050/4gtv-4gtv009/index.m3u8?proxy=true
中視新聞台,http://nmk.ioapk.com:5050/4gtv-4gtv074/index.m3u8?proxy=true
東森新聞,http://nmk.ioapk.com:5050/4gtv-4gtv152/index.m3u8?proxy=true
華視新聞,http://nmk.ioapk.com:5050/4gtv-4gtv052/index.m3u8?proxy=true
寰宇新聞台,http://nmk.ioapk.com:5050/litv-longturn14/index.m3u8?proxy=true
TVBS新聞台,http://nmk.ioapk.com:5050/4gtv-4gtv072/index.m3u8?proxy=true
三立新聞,http://nmk.ioapk.com:5050/4gtv-live089/index.m3u8?proxy=true$无
台視新聞台,http://nmk.ioapk.com:5050/4gtv-4gtv051/index.m3u8?proxy=true
民視新聞台,http://nmk.ioapk.com:5050/litv-ftv13/index.m3u8?proxy=true
鏡電視新聞台,http://nmk.ioapk.com:5050/4gtv-4gtv075/index.m3u8?proxy=true
非凡新聞台,http://nmk.ioapk.com:5050/4gtv-4gtv010/index.m3u8?proxy=true
寰宇新聞台灣台,http://nmk.ioapk.com:5050/litv-longturn15/index.m3u8?proxy=true$无
寰宇財經台,http://nmk.ioapk.com:5050/litv-longturn23/index.m3u8?proxy=true$无
非凡商業台,http://nmk.ioapk.com:5050/4gtv-4gtv048/index.m3u8?proxy=true
台視財經台,http://nmk.ioapk.com:5050/4gtv-4gtv056/index.m3u8?proxy=true
